team,player,track,score
Za,Cow Jah (bag),Obstagoon's Palace,1
Za,Cow Jah (bag),Twin Peaks,0
Za,Cow Jah (bag),GBA Cheep-Cheep Island,0
Za,Cow Jah (bag),Abandoned Boardwalk,1
Za,Cow Jah (bag),Skyline Avenue,0
Za,Cow Jah (bag),Wolf Castlegrounds,0
Za,Cow Jah (bag),Christmas Court,1
Za,Cow Jah (bag),Bowser's Termination Station,1
Za,Cow Jah (bag),Tropical Factory,1
Za,Cow Jah (bag),N64 Banshee Boardwalk,0
Za,Cow Jah (bag),Haunted Gardens,1
Za,Cow Jah (bag),Lava Lake,1
BBB,Snowy,The Great Apple War,15
BBB,Snowy,Cherry Blossom Garden,6
BBB,Snowy,GBA Bowser Castle 2,4
BBB,Snowy,Crystal Dungeon,4
BBB,Snowy,Dark Matter Shrine,10
BBB,Snowy,Sandstone Cliffs,10
BBB,Snowy,DS Airship Fortress,15
BBB,Snowy,Shy Guy Lumber Co.,15
BBB,Snowy,Aqua Dungeon,4
BBB,Snowy,Lost Fortress,10
BBB,Snowy,DS Wario Stadium,12
BBB,Snowy,Final Grounds,10
BBB,Ford,The Great Apple War,10
BBB,Ford,Cherry Blossom Garden,4
BBB,Ford,GBA Bowser Castle 2,15
BBB,Ford,Crystal Dungeon,15
BBB,Ford,Dark Matter Shrine,4
BBB,Ford,Sandstone Cliffs,8
BBB,Ford,DS Airship Fortress,2
BBB,Ford,Shy Guy Lumber Co.,4
BBB,Ford,Aqua Dungeon,10
BBB,Ford,Lost Fortress,4
BBB,Ford,DS Wario Stadium,2
BBB,Ford,Final Grounds,15
BBB,Snoopy,The Great Apple War,8
BBB,Snoopy,Cherry Blossom Garden,3
BBB,Snoopy,GBA Bowser Castle 2,12
BBB,Snoopy,Crystal Dungeon,2
BBB,Snoopy,Dark Matter Shrine,3
BBB,Snoopy,Sandstone Cliffs,12
BBB,Snoopy,DS Airship Fortress,4
BBB,Snoopy,Shy Guy Lumber Co.,8
BBB,Snoopy,Aqua Dungeon,15
BBB,Snoopy,Lost Fortress,6
BBB,Snoopy,DS Wario Stadium,3
BBB,Snoopy,Final Grounds,12
BBB,va,The Great Apple War,3
BBB,va,Cherry Blossom Garden,8
BBB,va,GBA Bowser Castle 2,2
BBB,va,Crystal Dungeon,3
BBB,va,Dark Matter Shrine,2
BBB,va,Sandstone Cliffs,15
BBB,va,DS Airship Fortress,8
BBB,va,Shy Guy Lumber Co.,6
BBB,va,Aqua Dungeon,3
BBB,va,Lost Fortress,2
BBB,va,DS Wario Stadium,8
BBB,va,Final Grounds,2
BBB,psycho,The Great Apple War,4
BBB,psycho (bag),Cherry Blossom Garden,0
BBB,psycho (bag),GBA Bowser Castle 2,0
BBB,psycho (bag),Crystal Dungeon,0
BBB,psycho (bag),Dark Matter Shrine,0
BBB,psycho (bag),Sandstone Cliffs,1
BBB,psycho (bag),DS Airship Fortress,0
BBB,psycho (bag),Shy Guy Lumber Co.,1
BBB,psycho (bag),Aqua Dungeon,1
BBB,psycho (bag),Lost Fortress,1
BBB,psycho (bag),DS Wario Stadium,1
BBB,psycho (bag),Final Grounds,1
Triton,James,The Great Apple War,6
Triton,James,Cherry Blossom Garden,2
Triton,James,GBA Bowser Castle 2,3
Triton,James,Crystal Dungeon,8
Triton,James,Dark Matter Shrine,15
Triton,James,Sandstone Cliffs,4
Triton,James,DS Airship Fortress,12
Triton,James,Shy Guy Lumber Co.,10
Triton,James,Aqua Dungeon,6
Triton,James,Lost Fortress,15
Triton,James,DS Wario Stadium,15
Triton,James,Final Grounds,6
Triton,JT,The Great Apple War,4
Triton,JT,Cherry Blossom Garden,10
Triton,JT,GBA Bowser Castle 2,6
Triton,JT,Crystal Dungeon,12
Triton,JT,Dark Matter Shrine,8
Triton,JT,Sandstone Cliffs,6
Triton,JT,DS Airship Fortress,10
Triton,JT,Shy Guy Lumber Co.,12
Triton,JT,Aqua Dungeon,8
Triton,JT,Lost Fortress,8
Triton,JT,DS Wario Stadium,6
Triton,JT,Final Grounds,8
Triton,ZachNY,The Great Apple War,12
Triton,ZachNY,Cherry Blossom Garden,15
Triton,ZachNY,GBA Bowser Castle 2,10
Triton,ZachNY,Crystal Dungeon,10
Triton,ZachNY,Dark Matter Shrine,12
Triton,ZachNY,Sandstone Cliffs,2
Triton,ZachNY,DS Airship Fortress,6
Triton,ZachNY,Shy Guy Lumber Co.,2
Triton,ZachNY,Aqua Dungeon,2
Triton,ZachNY,Lost Fortress,12
Triton,ZachNY,DS Wario Stadium,4
Triton,ZachNY,Final Grounds,3
Triton,Virox,The Great Apple War,2
Triton,Virox,Cherry Blossom Garden,12
Triton,Virox,GBA Bowser Castle 2,8
Triton,Virox,Crystal Dungeon,6
Triton,Virox,Dark Matter Shrine,6
Triton,Virox,Sandstone Cliffs,3
Triton,Virox,DS Airship Fortress,3
Triton,Virox,Shy Guy Lumber Co.,3
Triton,Virox,Aqua Dungeon,12
Triton,Virox,Lost Fortress,3
Triton,Virox,DS Wario Stadium,10
Triton,Virox,Final Grounds,4
Triton,Lochie (bag),The Great Apple War,0
Triton,Lochie (bag),Cherry Blossom Garden,0
Triton,Lochie (bag),GBA Bowser Castle 2,0
Triton,Lochie (bag),Crystal Dungeon,0
Triton,Lochie (bag),Dark Matter Shrine,1
Triton,Lochie (bag),Sandstone Cliffs,0
Triton,Lochie (bag),DS Airship Fortress,1
Triton,Lochie (bag),Shy Guy Lumber Co.,0
Triton,Lochie (bag),Aqua Dungeon,0
Triton,Lochie (bag),Lost Fortress,0
Triton,Lochie (bag),DS Wario Stadium,0
Triton,Lochie (bag),Final Grounds,0
Mi,winter,Medieval Castlegrounds,4
Mi,winter,Bowser's Termination Station,12
Mi,winter,Bluster Blob Bluff,10
Mi,winter,Frantic Funyard,10
Mi,winter,Big Express City,3
Mi,winter,DS Rainbow Road,8
Mi,winter,Fishdom Island,6
Mi,winter,Bowser Jr.'s Fort,10
Mi,winter,Big Nature City,10
Mi,winter,Castle of Time,10
Mi,winter,Halogen Highway,15
Mi,winter,Mansion of Madness,12
Mi,Jack,Medieval Castlegrounds,3
Mi,Jack,Bowser's Termination Station,4
Mi,Jack,Bluster Blob Bluff,12
Mi,Jack,Frantic Funyard,15
Mi,Jack,Big Express City,4
Mi,Jack,DS Rainbow Road,6
Mi,Jack,Fishdom Island,8
Mi,Jack,Bowser Jr.'s Fort,6
Mi,Jack,Big Nature City,12
Mi,Jack,Castle of Time,12
Mi,Jack,Halogen Highway,10
Mi,Jack,Mansion of Madness,10
Mi,Tectrox,Medieval Castlegrounds,15
Mi,Tectrox,Bowser's Termination Station,2
Mi,Tectrox,Bluster Blob Bluff,3
Mi,Tectrox,Frantic Funyard,4
Mi,Tectrox,Big Express City,2
Mi,Tectrox,DS Rainbow Road,4
Mi,Tectrox,Fishdom Island,10
Mi,Tectrox,Bowser Jr.'s Fort,3
